numTreeFactor numTree numRows numAttr accuracy
15 1349 61 6 0.797616601603
15 1349 61 6 0.701047873433
15 1349 61 6 0.523936716663
15 1349 61 8 0.513868913088
15 1349 61 8 0.753852475858
15 1349 61 8 0.398397370043
15 1349 61 8 0.422847750154
15 1349 61 11 0.773782617629
15 1349 61 11 0.676392027943
15 1349 61 11 0.750154099034
15 1349 61 11 0.763098417917
15 1349 61 11 0.751797822067
15 1349 61 11 0.736387918636
15 1349 61 11 0.691185535237
15 1349 61 11 0.748715841381
15 1349 61 11 0.694267515924
15 1349 61 11 0.490856790631
15 1349 61 11 0.783234025067
15 1349 61 11 0.77809739059
15 1349 61 11 0.565440723238
0.5 44 7196 56 0.915142798438 8
0.5 44 7196 56 0.915759194576 8
0.5 44 7196 8 0.918635709883 8
0.5 44 7196 8 0.888226833779 8
0.5 44 7196 56 0.955003081981 8
0.5 44 7196 56 0.954592151223 8
0.5 44 7196 113 0.94842818985 8
0.5 44 7646 113 0.947400862955 8
0.2 17 7646 113 0.95068830902 8
0.2 17 7646 113 0.953770289706 8
0.2 4 1700 80 0.551111111111 1
0.2 4 1700 80 0.551111111111 1
0.4 8 1700 80 0.551111111111 1
0.4 18 3883 105 0.84126984127 4
0.4 12 2742 126 0.610619469027 2
0.4 12 2742 126 0.554572271386 2
0.4 12 2742 9 0.609144542773 2
0.4 12 2581 9 0.598820058997 2
0.4 12 1935 9 0.629793510324 2
0.4 12 1613 9 0.597345132743 2
0.4 12 1935 9 0.632743362832 2
0.4 12 1935 9 0.6401179941 2
0.4 12 1935 9 0.6401179941 2
0.4 12 1935 9 0.58407079646 2
0.4 12 1935 9 0.634218289086 2
0.4 12 1935 3 0.620943952802 2
0.4 12 1935 3 0.6401179941 2
0.4 8 1200 2 0.551111111111 1
0.4 8 1200 2 0.551111111111 1
1 20 1200 2 0.551111111111 1
3 60 1200 2 0.644444444444 1
3 60 1200 2 0.644444444444 1
3 60 1200 2 0.604444444444 1
3 60 1200 2 0.644444444444 1
3 60 1200 2 0.551111111111 1
3 60 1200 2 0.604444444444 1
3 60 1200 2 0.675555555556 1
3 137 2741 2 0.769841269841 4
3 137 2741 2 0.744268077601 4
3 60 1200 2 0.644444444444 1
3 269 5397 2 0.835011300596 8
3 269 5397 2 0.807478939799 8
3 1 5397 2 0.875282514896 8
3 134 5397 2 0.845079104171 8
3 10 5397 2 0.828436408465 8
3 10 5397 2 0.88781590302 8
3 100 5397 2 0.905485925622 8
3 50 5397 2 0.855557838504 8
3 50 1200 2 0.595555555556 1
3 50 1200 2 0.644444444444 1
3 50 1200 2 0.551111111111 1
3 50 1200 2 0.595555555556 1
3 80 1200 2 0.551111111111 1
3 80 1200 2 0.551111111111 1
3 80 1200 2 0.604444444444 1
3 80 1200 2 0.551111111111 1
3 80 1200 2 0.582222222222 1
3 80 1200 2 0.582222222222 1
3 80 1200 2 0.586666666667 1
3 80 1200 2 0.546666666667 1
3 80 1200 2 0.577777777778 1
3 200 1200 2 0.595555555556 1
3 200 1200 2 0.573333333333 1
3 200 1200 2 0.608888888889 1
3 200 1200 2 0.537777777778 1
3 200 1200 2 0.511111111111 1
3 200 1200 2 0.582222222222 1
3 200 1200 2 0.591111111111 1
